actor_id,first_name,last_name,last_update
76,ANGELINA,ASTAIRE,2021-03-06 15:51:59
77,CARY,MCCONAUGHEY,2021-03-06 15:51:59
78,GROUCHO,SINATRA,2021-03-06 15:51:59
79,MAE,HOFFMAN,2021-03-06 15:51:59
80,RALPH,CRUZ,2021-03-06 15:51:59
81,SCARLETT,DAMON,2021-03-06 15:51:59
82,WOODY,JOLIE,2021-03-06 15:51:59
83,BEN,WILLIS,2021-03-06 15:51:59
84,JAMES,PITT,2021-03-06 15:51:59
85,MINNIE,ZELLWEGER,2021-03-06 15:51:59
86,GREG,CHAPLIN,2021-03-06 15:51:59
87,SPENCER,PECK,2021-03-06 15:51:59
88,KENNETH,PESCI,2021-03-06 15:51:59
89,CHARLIZE,DENCH,2021-03-06 15:51:59
90,SEAN,GUINESS,2021-03-06 15:51:59
91,CHRISTOPHER,BERRY,2021-03-06 15:51:59
92,KIRSTEN,AKROYD,2021-03-06 15:51:59
93,ELLEN,PRESLEY,2021-03-06 15:51:59
94,KENNETH,TORN,2021-03-06 15:51:59
95,DARYL,WAHLBERG,2021-03-06 15:51:59
96,GENE,WILLIS,2021-03-06 15:51:59
97,MEG,HAWKE,2021-03-06 15:51:59
98,CHRIS,BRIDGES,2021-03-06 15:51:59
99,JIM,MOSTEL,2021-03-06 15:51:59
100,SPENCER,DEPP,2021-03-06 15:51:59
101,SUSAN,DAVIS,2021-03-06 15:51:59
102,WALTER,TORN,2021-03-06 15:51:59
103,MATTHEW,LEIGH,2021-03-06 15:51:59
104,PENELOPE,CRONYN,2021-03-06 15:51:59
105,SIDNEY,CROWE,2021-03-06 15:51:59
106,GROUCHO,DUNST,2021-03-06 15:51:59
107,GINA,DEGENERES,2021-03-06 15:51:59
108,WARREN,NOLTE,2021-03-06 15:51:59
109,SYLVESTER,DERN,2021-03-06 15:51:59
110,SUSAN,DAVIS,2021-03-06 15:51:59
111,CAMERON,ZELLWEGER,2021-03-06 15:51:59
112,RUSSELL,BACALL,2021-03-06 15:51:59
113,MORGAN,HOPKINS,2021-03-06 15:51:59
114,MORGAN,MCDORMAND,2021-03-06 15:51:59
115,HARRISON,BALE,2021-03-06 15:51:59
116,DAN,STREEP,2021-03-06 15:51:59
117,RENEE,TRACY,2021-03-06 15:51:59
118,CUBA,ALLEN,2021-03-06 15:51:59
119,WARREN,JACKMAN,2021-03-06 15:51:59
120,PENELOPE,MONROE,2021-03-06 15:51:59
121,LIZA,BERGMAN,2021-03-06 15:51:59
122,SALMA,NOLTE,2021-03-06 15:51:59
123,JULIANNE,DENCH,2021-03-06 15:51:59
124,SCARLETT,BENING,2021-03-06 15:52:00
125,ALBERT,NOLTE,2021-03-06 15:52:00
126,FRANCES,TOMEI,2021-03-06 15:52:00
127,KEVIN,GARLAND,2021-03-06 15:52:00
128,CATE,MCQUEEN,2021-03-06 15:52:00
129,DARYL,CRAWFORD,2021-03-06 15:52:00
130,GRETA,KEITEL,2021-03-06 15:52:00
131,JANE,JACKMAN,2021-03-06 15:52:00
132,ADAM,HOPPER,2021-03-06 15:52:00
133,RICHARD,PENN,2021-03-06 15:52:00
134,GENE,HOPKINS,2021-03-06 15:52:00
135,RITA,REYNOLDS,2021-03-06 15:52:00
136,ED,MANSFIELD,2021-03-06 15:52:00
137,MORGAN,WILLIAMS,2021-03-06 15:52:00
138,LUCILLE,DEE,2021-03-06 15:52:00
139,EWAN,GOODING,2021-03-06 15:52:00
140,WHOOPI,HURT,2021-03-06 15:52:00
141,CATE,HARRIS,2021-03-06 15:52:00
142,JADA,RYDER,2021-03-06 15:52:00
143,RIVER,DEAN,2021-03-06 15:52:00
144,ANGELA,WITHERSPOON,2021-03-06 15:52:00
145,KIM,ALLEN,2021-03-06 15:52:00
146,ALBERT,JOHANSSON,2021-03-06 15:52:00
147,FAY,WINSLET,2021-03-06 15:52:00
148,EMILY,DEE,2021-03-06 15:52:00
149,RUSSELL,TEMPLE,2021-03-06 15:52:00
150,JAYNE,NOLTE,2021-03-06 15:52:00
151,GEOFFREY,HESTON,2021-03-06 15:52:00
152,BEN,HARRIS,2021-03-06 15:52:00
153,MINNIE,KILMER,2021-03-06 15:52:00
154,MERYL,GIBSON,2021-03-06 15:52:00
155,IAN,TANDY,2021-03-06 15:52:00
156,FAY,WOOD,2021-03-06 15:52:00
157,GRETA,MALDEN,2021-03-06 15:52:00
158,VIVIEN,BASINGER,2021-03-06 15:52:00
159,LAURA,BRODY,2021-03-06 15:52:00
160,CHRIS,DEPP,2021-03-06 15:52:00
161,HARVEY,HOPE,2021-03-06 15:52:00
162,OPRAH,KILMER,2021-03-06 15:52:00
163,CHRISTOPHER,WEST,2021-03-06 15:52:00
164,HUMPHREY,WILLIS,2021-03-06 15:52:00
165,AL,GARLAND,2021-03-06 15:52:00
166,NICK,DEGENERES,2021-03-06 15:52:00
167,LAURENCE,BULLOCK,2021-03-06 15:52:00
168,WILL,WILSON,2021-03-06 15:52:00
169,KENNETH,HOFFMAN,2021-03-06 15:52:00
170,MENA,HOPPER,2021-03-06 15:52:00
171,OLYMPIA,PFEIFFER,2021-03-06 15:52:00
172,GROUCHO,WILLIAMS,2021-03-06 15:52:00
173,ALAN,DREYFUSS,2021-03-06 15:52:00
174,MICHAEL,BENING,2021-03-06 15:52:00
175,WILLIAM,HACKMAN,2021-03-06 15:52:00
176,JON,CHASE,2021-03-06 15:52:00
177,GENE,MCKELLEN,2021-03-06 15:52:00
178,LISA,MONROE,2021-03-06 15:52:00
179,ED,GUINESS,2021-03-06 15:52:00
180,JEFF,SILVERSTONE,2021-03-06 15:52:00
181,MATTHEW,CARREY,2021-03-06 15:52:00
182,DEBBIE,AKROYD,2021-03-06 15:52:00
183,RUSSELL,CLOSE,2021-03-06 15:52:00
184,HUMPHREY,GARLAND,2021-03-06 15:52:00
185,MICHAEL,BOLGER,2021-03-06 15:52:00
186,JULIA,ZELLWEGER,2021-03-06 15:52:00
187,RENEE,BALL,2021-03-06 15:52:00
188,ROCK,DUKAKIS,2021-03-06 15:52:00
189,CUBA,BIRCH,2021-03-06 15:52:00
190,AUDREY,BAILEY,2021-03-06 15:52:00
191,GREGORY,GOODING,2021-03-06 15:52:00
192,JOHN,SUVARI,2021-03-06 15:52:00
193,BURT,TEMPLE,2021-03-06 15:52:00
194,MERYL,ALLEN,2021-03-06 15:52:00
195,JAYNE,SILVERSTONE,2021-03-06 15:52:00
196,BELA,WALKEN,2021-03-06 15:52:00
197,REESE,WEST,2021-03-06 15:52:00
198,MARY,KEITEL,2021-03-06 15:52:00
199,JULIA,FAWCETT,2021-03-06 15:52:00
200,THORA,TEMPLE,2021-03-06 15:52:00
