inventory_id,film_id,store_id,last_update
85,17,2,2021-03-06 15:52:09
86,17,2,2021-03-06 15:52:09
87,18,1,2021-03-06 15:52:09
88,18,1,2021-03-06 15:52:09
89,18,1,2021-03-06 15:52:09
90,18,2,2021-03-06 15:52:09
91,18,2,2021-03-06 15:52:09
92,18,2,2021-03-06 15:52:09
93,19,1,2021-03-06 15:52:09
94,19,1,2021-03-06 15:52:09
95,19,1,2021-03-06 15:52:09
96,19,1,2021-03-06 15:52:09
97,19,2,2021-03-06 15:52:09
98,19,2,2021-03-06 15:52:09
99,20,1,2021-03-06 15:52:09
100,20,1,2021-03-06 15:52:09
101,20,1,2021-03-06 15:52:09
102,21,1,2021-03-06 15:52:09
103,21,1,2021-03-06 15:52:09
104,21,2,2021-03-06 15:52:09
105,21,2,2021-03-06 15:52:09
106,21,2,2021-03-06 15:52:09
107,21,2,2021-03-06 15:52:09
108,22,1,2021-03-06 15:52:09
109,22,1,2021-03-06 15:52:09
110,22,1,2021-03-06 15:52:09
111,22,1,2021-03-06 15:52:09
112,22,2,2021-03-06 15:52:09
113,22,2,2021-03-06 15:52:09
114,22,2,2021-03-06 15:52:09
115,23,1,2021-03-06 15:52:09
116,23,1,2021-03-06 15:52:09
117,23,1,2021-03-06 15:52:09
118,23,2,2021-03-06 15:52:09
119,23,2,2021-03-06 15:52:09
120,24,1,2021-03-06 15:52:09
121,24,1,2021-03-06 15:52:09
122,24,1,2021-03-06 15:52:09
123,24,1,2021-03-06 15:52:09
124,25,1,2021-03-06 15:52:09
125,25,1,2021-03-06 15:52:09
126,25,1,2021-03-06 15:52:09
127,25,1,2021-03-06 15:52:09
128,25,2,2021-03-06 15:52:09
129,25,2,2021-03-06 15:52:09
130,26,1,2021-03-06 15:52:09
131,26,1,2021-03-06 15:52:09
132,26,2,2021-03-06 15:52:09
133,26,2,2021-03-06 15:52:09
134,26,2,2021-03-06 15:52:09
135,27,1,2021-03-06 15:52:09
136,27,1,2021-03-06 15:52:09
137,27,1,2021-03-06 15:52:09
138,27,1,2021-03-06 15:52:09
139,28,1,2021-03-06 15:52:09
140,28,1,2021-03-06 15:52:09
141,28,1,2021-03-06 15:52:09
142,29,1,2021-03-06 15:52:09
143,29,1,2021-03-06 15:52:09
144,30,1,2021-03-06 15:52:09
145,30,1,2021-03-06 15:52:09
146,31,1,2021-03-06 15:52:09
147,31,1,2021-03-06 15:52:09
148,31,1,2021-03-06 15:52:09
149,31,1,2021-03-06 15:52:09
150,31,2,2021-03-06 15:52:09
151,31,2,2021-03-06 15:52:10
152,31,2,2021-03-06 15:52:10
153,31,2,2021-03-06 15:52:10
154,32,2,2021-03-06 15:52:10
155,32,2,2021-03-06 15:52:10
156,34,2,2021-03-06 15:52:10
157,34,2,2021-03-06 15:52:10
158,34,2,2021-03-06 15:52:10
159,34,2,2021-03-06 15:52:10
160,35,1,2021-03-06 15:52:10
161,35,1,2021-03-06 15:52:10
162,35,1,2021-03-06 15:52:10
163,35,1,2021-03-06 15:52:10
164,35,2,2021-03-06 15:52:10
165,35,2,2021-03-06 15:52:10
166,35,2,2021-03-06 15:52:10
167,37,1,2021-03-06 15:52:10
168,37,1,2021-03-06 15:52:10
169,37,1,2021-03-06 15:52:10
170,37,1,2021-03-06 15:52:10
171,37,2,2021-03-06 15:52:10
172,37,2,2021-03-06 15:52:10
173,37,2,2021-03-06 15:52:10
174,39,1,2021-03-06 15:52:10
175,39,1,2021-03-06 15:52:10
176,39,1,2021-03-06 15:52:10
177,39,2,2021-03-06 15:52:10
178,39,2,2021-03-06 15:52:10
179,39,2,2021-03-06 15:52:10
180,39,2,2021-03-06 15:52:10
181,40,2,2021-03-06 15:52:10
182,40,2,2021-03-06 15:52:10
183,40,2,2021-03-06 15:52:10
184,40,2,2021-03-06 15:52:10
185,42,2,2021-03-06 15:52:10
186,42,2,2021-03-06 15:52:10
187,42,2,2021-03-06 15:52:10
188,42,2,2021-03-06 15:52:10
189,43,1,2021-03-06 15:52:10
190,43,1,2021-03-06 15:52:10
191,43,1,2021-03-06 15:52:10
192,43,2,2021-03-06 15:52:10
193,43,2,2021-03-06 15:52:10
194,43,2,2021-03-06 15:52:10
195,43,2,2021-03-06 15:52:10
196,44,1,2021-03-06 15:52:10
197,44,1,2021-03-06 15:52:10
198,44,2,2021-03-06 15:52:10
199,44,2,2021-03-06 15:52:10
200,44,2,2021-03-06 15:52:10
201,45,1,2021-03-06 15:52:10
202,45,1,2021-03-06 15:52:10
203,45,1,2021-03-06 15:52:10
204,45,1,2021-03-06 15:52:10
205,45,2,2021-03-06 15:52:10
206,45,2,2021-03-06 15:52:10
207,46,2,2021-03-06 15:52:10
208,46,2,2021-03-06 15:52:10
209,46,2,2021-03-06 15:52:10
210,47,2,2021-03-06 15:52:10
211,47,2,2021-03-06 15:52:10
212,48,1,2021-03-06 15:52:10
213,48,1,2021-03-06 15:52:10
214,48,2,2021-03-06 15:52:10
215,48,2,2021-03-06 15:52:10
216,49,1,2021-03-06 15:52:10
217,49,1,2021-03-06 15:52:10
218,49,1,2021-03-06 15:52:10
219,49,2,2021-03-06 15:52:10
220,49,2,2021-03-06 15:52:10
221,49,2,2021-03-06 15:52:10
222,50,1,2021-03-06 15:52:10
223,50,1,2021-03-06 15:52:10
224,50,1,2021-03-06 15:52:10
225,50,2,2021-03-06 15:52:10
226,50,2,2021-03-06 15:52:10
227,51,1,2021-03-06 15:52:10
228,51,1,2021-03-06 15:52:10
229,51,2,2021-03-06 15:52:10
230,51,2,2021-03-06 15:52:10
231,51,2,2021-03-06 15:52:10
232,51,2,2021-03-06 15:52:10
233,52,2,2021-03-06 15:52:10
234,52,2,2021-03-06 15:52:10
235,53,1,2021-03-06 15:52:10
236,53,1,2021-03-06 15:52:10
237,54,1,2021-03-06 15:52:10
238,54,1,2021-03-06 15:52:10
239,54,1,2021-03-06 15:52:10
240,54,2,2021-03-06 15:52:10
241,54,2,2021-03-06 15:52:10
242,55,1,2021-03-06 15:52:10
243,55,1,2021-03-06 15:52:10
244,55,1,2021-03-06 15:52:10
245,55,1,2021-03-06 15:52:10
246,55,2,2021-03-06 15:52:10
247,55,2,2021-03-06 15:52:10
248,56,1,2021-03-06 15:52:10
249,56,1,2021-03-06 15:52:10
250,56,1,2021-03-06 15:52:10
251,56,2,2021-03-06 15:52:10
252,56,2,2021-03-06 15:52:10
253,57,1,2021-03-06 15:52:10
254,57,1,2021-03-06 15:52:10
255,57,1,2021-03-06 15:52:10
256,57,1,2021-03-06 15:52:10
257,57,2,2021-03-06 15:52:10
258,57,2,2021-03-06 15:52:10
259,57,2,2021-03-06 15:52:10
260,58,2,2021-03-06 15:52:10
261,58,2,2021-03-06 15:52:10
262,58,2,2021-03-06 15:52:10
263,58,2,2021-03-06 15:52:10
264,59,1,2021-03-06 15:52:10
265,59,1,2021-03-06 15:52:10
266,59,1,2021-03-06 15:52:10
267,59,2,2021-03-06 15:52:10
268,59,2,2021-03-06 15:52:10
269,60,1,2021-03-06 15:52:10
270,60,1,2021-03-06 15:52:10
271,60,1,2021-03-06 15:52:10
272,61,1,2021-03-06 15:52:10
273,61,1,2021-03-06 15:52:10
274,61,1,2021-03-06 15:52:10
275,61,1,2021-03-06 15:52:10
276,61,2,2021-03-06 15:52:10
277,61,2,2021-03-06 15:52:10
278,62,2,2021-03-06 15:52:10
279,62,2,2021-03-06 15:52:10
280,63,1,2021-03-06 15:52:10
281,63,1,2021-03-06 15:52:10
282,63,2,2021-03-06 15:52:10
283,63,2,2021-03-06 15:52:10
284,64,2,2021-03-06 15:52:10
285,64,2,2021-03-06 15:52:10
286,64,2,2021-03-06 15:52:11
287,65,2,2021-03-06 15:52:11
288,65,2,2021-03-06 15:52:11
289,65,2,2021-03-06 15:52:11
290,65,2,2021-03-06 15:52:11
291,66,1,2021-03-06 15:52:11
292,66,1,2021-03-06 15:52:11
293,66,1,2021-03-06 15:52:11
294,67,1,2021-03-06 15:52:11
295,67,1,2021-03-06 15:52:11
296,67,2,2021-03-06 15:52:11
297,67,2,2021-03-06 15:52:11
298,67,2,2021-03-06 15:52:11
299,67,2,2021-03-06 15:52:11
300,68,1,2021-03-06 15:52:11
301,68,1,2021-03-06 15:52:11
302,68,2,2021-03-06 15:52:11
303,68,2,2021-03-06 15:52:11
304,69,1,2021-03-06 15:52:11
305,69,1,2021-03-06 15:52:11
306,69,1,2021-03-06 15:52:11
307,69,1,2021-03-06 15:52:11
308,69,2,2021-03-06 15:52:11
309,69,2,2021-03-06 15:52:11
310,69,2,2021-03-06 15:52:11
311,69,2,2021-03-06 15:52:11
312,70,1,2021-03-06 15:52:11
313,70,1,2021-03-06 15:52:11
314,70,2,2021-03-06 15:52:11
315,70,2,2021-03-06 15:52:11
316,71,2,2021-03-06 15:52:11
317,71,2,2021-03-06 15:52:11
318,71,2,2021-03-06 15:52:11
319,71,2,2021-03-06 15:52:11
320,72,1,2021-03-06 15:52:11
321,72,1,2021-03-06 15:52:11
322,72,1,2021-03-06 15:52:11
323,72,1,2021-03-06 15:52:11
324,72,2,2021-03-06 15:52:11
325,72,2,2021-03-06 15:52:11
326,73,1,2021-03-06 15:52:11
327,73,1,2021-03-06 15:52:11
328,73,1,2021-03-06 15:52:11
329,73,1,2021-03-06 15:52:11
330,73,2,2021-03-06 15:52:11
331,73,2,2021-03-06 15:52:11
332,73,2,2021-03-06 15:52:11
333,73,2,2021-03-06 15:52:11
334,74,1,2021-03-06 15:52:11
335,74,1,2021-03-06 15:52:11
336,74,1,2021-03-06 15:52:11
337,74,2,2021-03-06 15:52:11
338,74,2,2021-03-06 15:52:11
339,75,2,2021-03-06 15:52:11
340,75,2,2021-03-06 15:52:11
341,75,2,2021-03-06 15:52:11
342,76,1,2021-03-06 15:52:11
343,76,1,2021-03-06 15:52:11
344,76,1,2021-03-06 15:52:11
345,77,1,2021-03-06 15:52:11
346,77,1,2021-03-06 15:52:11
347,77,1,2021-03-06 15:52:11
348,77,1,2021-03-06 15:52:11
349,77,2,2021-03-06 15:52:11
350,77,2,2021-03-06 15:52:11
351,78,1,2021-03-06 15:52:11
352,78,1,2021-03-06 15:52:11
353,78,1,2021-03-06 15:52:11
354,78,2,2021-03-06 15:52:11
355,78,2,2021-03-06 15:52:11
356,78,2,2021-03-06 15:52:11
357,78,2,2021-03-06 15:52:11
358,79,1,2021-03-06 15:52:11
359,79,1,2021-03-06 15:52:11
360,79,1,2021-03-06 15:52:11
361,79,2,2021-03-06 15:52:11
362,79,2,2021-03-06 15:52:11
363,79,2,2021-03-06 15:52:11
364,80,1,2021-03-06 15:52:11
365,80,1,2021-03-06 15:52:11
366,80,1,2021-03-06 15:52:11
367,80,1,2021-03-06 15:52:11
368,81,1,2021-03-06 15:52:11
369,81,1,2021-03-06 15:52:11
370,81,1,2021-03-06 15:52:11
371,81,1,2021-03-06 15:52:11
372,82,1,2021-03-06 15:52:11
373,82,1,2021-03-06 15:52:11
374,83,1,2021-03-06 15:52:11
375,83,1,2021-03-06 15:52:11
376,83,1,2021-03-06 15:52:11
377,83,2,2021-03-06 15:52:11
378,83,2,2021-03-06 15:52:11
379,84,1,2021-03-06 15:52:11
380,84,1,2021-03-06 15:52:11
381,84,1,2021-03-06 15:52:11
382,84,1,2021-03-06 15:52:11
383,85,2,2021-03-06 15:52:11
384,85,2,2021-03-06 15:52:11
385,85,2,2021-03-06 15:52:11
386,85,2,2021-03-06 15:52:11
387,86,1,2021-03-06 15:52:11
388,86,1,2021-03-06 15:52:11
389,86,1,2021-03-06 15:52:11
390,86,1,2021-03-06 15:52:11
391,86,2,2021-03-06 15:52:11
392,86,2,2021-03-06 15:52:11
393,86,2,2021-03-06 15:52:11
394,86,2,2021-03-06 15:52:11
395,88,2,2021-03-06 15:52:11
396,88,2,2021-03-06 15:52:11
397,88,2,2021-03-06 15:52:11
398,88,2,2021-03-06 15:52:11
399,89,1,2021-03-06 15:52:11
400,89,1,2021-03-06 15:52:11
401,89,1,2021-03-06 15:52:11
402,89,2,2021-03-06 15:52:11
403,89,2,2021-03-06 15:52:11
404,89,2,2021-03-06 15:52:11
405,90,1,2021-03-06 15:52:11
406,90,1,2021-03-06 15:52:11
407,90,1,2021-03-06 15:52:11
408,90,2,2021-03-06 15:52:11
409,90,2,2021-03-06 15:52:11
410,90,2,2021-03-06 15:52:11
411,91,1,2021-03-06 15:52:11
412,91,1,2021-03-06 15:52:11
413,91,1,2021-03-06 15:52:11
414,91,1,2021-03-06 15:52:11
415,91,2,2021-03-06 15:52:11
416,91,2,2021-03-06 15:52:11
417,91,2,2021-03-06 15:52:11
418,91,2,2021-03-06 15:52:11
419,92,1,2021-03-06 15:52:11
420,92,1,2021-03-06 15:52:12
421,92,2,2021-03-06 15:52:12
422,92,2,2021-03-06 15:52:12
423,93,2,2021-03-06 15:52:12
424,93,2,2021-03-06 15:52:12
425,93,2,2021-03-06 15:52:12
426,94,1,2021-03-06 15:52:12
427,94,1,2021-03-06 15:52:12
428,95,1,2021-03-06 15:52:12
429,95,1,2021-03-06 15:52:12
430,95,2,2021-03-06 15:52:12
431,95,2,2021-03-06 15:52:12
432,95,2,2021-03-06 15:52:12
433,96,1,2021-03-06 15:52:12
434,96,1,2021-03-06 15:52:12
435,96,1,2021-03-06 15:52:12
436,97,1,2021-03-06 15:52:12
437,97,1,2021-03-06 15:52:12
438,97,1,2021-03-06 15:52:12
439,97,1,2021-03-06 15:52:12
440,97,2,2021-03-06 15:52:12
441,97,2,2021-03-06 15:52:12
442,98,1,2021-03-06 15:52:12
443,98,1,2021-03-06 15:52:12
444,98,1,2021-03-06 15:52:12
445,99,1,2021-03-06 15:52:12
446,99,1,2021-03-06 15:52:12
447,99,1,2021-03-06 15:52:12
448,99,2,2021-03-06 15:52:12
449,99,2,2021-03-06 15:52:12
450,99,2,2021-03-06 15:52:12
451,100,1,2021-03-06 15:52:12
452,100,1,2021-03-06 15:52:12
453,100,1,2021-03-06 15:52:12
454,100,1,2021-03-06 15:52:12
455,100,2,2021-03-06 15:52:12
456,100,2,2021-03-06 15:52:12
457,101,1,2021-03-06 15:52:12
458,101,1,2021-03-06 15:52:12
459,101,1,2021-03-06 15:52:12
460,101,1,2021-03-06 15:52:12
461,101,2,2021-03-06 15:52:12
462,101,2,2021-03-06 15:52:12
463,102,2,2021-03-06 15:52:12
464,102,2,2021-03-06 15:52:12
465,103,1,2021-03-06 15:52:12
466,103,1,2021-03-06 15:52:12
467,103,1,2021-03-06 15:52:12
468,103,1,2021-03-06 15:52:12
469,103,2,2021-03-06 15:52:12
470,103,2,2021-03-06 15:52:12
471,103,2,2021-03-06 15:52:12
472,103,2,2021-03-06 15:52:12
473,104,2,2021-03-06 15:52:12
474,104,2,2021-03-06 15:52:12
475,104,2,2021-03-06 15:52:12
476,105,1,2021-03-06 15:52:12
477,105,1,2021-03-06 15:52:12
478,105,2,2021-03-06 15:52:12
479,105,2,2021-03-06 15:52:12
480,105,2,2021-03-06 15:52:12
481,106,1,2021-03-06 15:52:12
482,106,1,2021-03-06 15:52:12
483,107,2,2021-03-06 15:52:12
484,107,2,2021-03-06 15:52:12
485,109,1,2021-03-06 15:52:12
486,109,1,2021-03-06 15:52:12
487,109,1,2021-03-06 15:52:12
488,109,1,2021-03-06 15:52:12
489,109,2,2021-03-06 15:52:12
490,109,2,2021-03-06 15:52:12
491,109,2,2021-03-06 15:52:12
492,109,2,2021-03-06 15:52:12
493,110,1,2021-03-06 15:52:12
494,110,1,2021-03-06 15:52:12
495,110,1,2021-03-06 15:52:12
496,110,1,2021-03-06 15:52:12
497,111,2,2021-03-06 15:52:12
498,111,2,2021-03-06 15:52:12
499,111,2,2021-03-06 15:52:12
500,111,2,2021-03-06 15:52:12
501,112,1,2021-03-06 15:52:12
502,112,1,2021-03-06 15:52:12
503,112,1,2021-03-06 15:52:12
504,112,1,2021-03-06 15:52:12
505,112,2,2021-03-06 15:52:12
506,112,2,2021-03-06 15:52:12
507,112,2,2021-03-06 15:52:12
508,113,2,2021-03-06 15:52:12
509,113,2,2021-03-06 15:52:12
510,113,2,2021-03-06 15:52:12
511,113,2,2021-03-06 15:52:12
512,114,1,2021-03-06 15:52:12
513,114,1,2021-03-06 15:52:12
514,114,1,2021-03-06 15:52:12
515,114,1,2021-03-06 15:52:12
516,114,2,2021-03-06 15:52:12
517,114,2,2021-03-06 15:52:12
518,114,2,2021-03-06 15:52:12
519,115,1,2021-03-06 15:52:12
520,115,1,2021-03-06 15:52:12
521,115,1,2021-03-06 15:52:12
522,115,2,2021-03-06 15:52:12
523,115,2,2021-03-06 15:52:12
524,115,2,2021-03-06 15:52:12
525,115,2,2021-03-06 15:52:12
526,116,1,2021-03-06 15:52:12
527,116,1,2021-03-06 15:52:12
528,116,2,2021-03-06 15:52:12
529,116,2,2021-03-06 15:52:12
530,116,2,2021-03-06 15:52:12
531,116,2,2021-03-06 15:52:12
532,117,1,2021-03-06 15:52:12
533,117,1,2021-03-06 15:52:12
534,117,1,2021-03-06 15:52:12
535,117,1,2021-03-06 15:52:12
536,117,2,2021-03-06 15:52:12
537,117,2,2021-03-06 15:52:13
538,118,1,2021-03-06 15:52:13
539,118,1,2021-03-06 15:52:13
540,118,1,2021-03-06 15:52:13
541,118,1,2021-03-06 15:52:13
542,118,2,2021-03-06 15:52:13
543,118,2,2021-03-06 15:52:13
544,119,1,2021-03-06 15:52:13
545,119,1,2021-03-06 15:52:13
546,119,1,2021-03-06 15:52:13
547,119,2,2021-03-06 15:52:13
548,119,2,2021-03-06 15:52:13
549,119,2,2021-03-06 15:52:13
550,119,2,2021-03-06 15:52:13
551,120,1,2021-03-06 15:52:13
552,120,1,2021-03-06 15:52:13
553,120,1,2021-03-06 15:52:13
554,121,1,2021-03-06 15:52:13
555,121,1,2021-03-06 15:52:13
556,121,1,2021-03-06 15:52:13
557,121,2,2021-03-06 15:52:13
558,121,2,2021-03-06 15:52:13
559,121,2,2021-03-06 15:52:13
560,122,1,2021-03-06 15:52:13
561,122,1,2021-03-06 15:52:13
562,122,1,2021-03-06 15:52:13
563,122,1,2021-03-06 15:52:13
564,122,2,2021-03-06 15:52:13
565,122,2,2021-03-06 15:52:13
566,122,2,2021-03-06 15:52:13
567,123,1,2021-03-06 15:52:13
568,123,1,2021-03-06 15:52:13
569,123,2,2021-03-06 15:52:13
570,123,2,2021-03-06 15:52:13
571,123,2,2021-03-06 15:52:13
572,124,2,2021-03-06 15:52:13
573,124,2,2021-03-06 15:52:13
574,124,2,2021-03-06 15:52:13
575,125,2,2021-03-06 15:52:13
576,125,2,2021-03-06 15:52:13
577,126,2,2021-03-06 15:52:13
578,126,2,2021-03-06 15:52:13
579,126,2,2021-03-06 15:52:13
580,127,1,2021-03-06 15:52:13
581,127,1,2021-03-06 15:52:13
582,127,1,2021-03-06 15:52:13
583,127,1,2021-03-06 15:52:13
584,127,2,2021-03-06 15:52:13
585,127,2,2021-03-06 15:52:13
586,127,2,2021-03-06 15:52:13
587,127,2,2021-03-06 15:52:13
588,129,1,2021-03-06 15:52:13
589,129,1,2021-03-06 15:52:13
590,129,1,2021-03-06 15:52:13
591,129,2,2021-03-06 15:52:13
592,129,2,2021-03-06 15:52:13
593,129,2,2021-03-06 15:52:13
594,130,1,2021-03-06 15:52:13
595,130,1,2021-03-06 15:52:13
596,130,2,2021-03-06 15:52:13
597,130,2,2021-03-06 15:52:13
598,130,2,2021-03-06 15:52:13
599,130,2,2021-03-06 15:52:13
600,131,1,2021-03-06 15:52:13
601,131,1,2021-03-06 15:52:13
602,131,1,2021-03-06 15:52:13
603,131,1,2021-03-06 15:52:13
604,131,2,2021-03-06 15:52:13
605,131,2,2021-03-06 15:52:13
606,132,1,2021-03-06 15:52:13
607,132,1,2021-03-06 15:52:13
608,132,1,2021-03-06 15:52:13
609,132,1,2021-03-06 15:52:13
610,132,2,2021-03-06 15:52:13
611,132,2,2021-03-06 15:52:13
612,133,1,2021-03-06 15:52:13
613,133,1,2021-03-06 15:52:13
614,133,2,2021-03-06 15:52:13
615,133,2,2021-03-06 15:52:13
616,134,2,2021-03-06 15:52:13
617,134,2,2021-03-06 15:52:13
618,134,2,2021-03-06 15:52:13
619,135,1,2021-03-06 15:52:13
620,135,1,2021-03-06 15:52:13
621,135,1,2021-03-06 15:52:13
622,135,2,2021-03-06 15:52:13
623,135,2,2021-03-06 15:52:13
624,135,2,2021-03-06 15:52:13
625,135,2,2021-03-06 15:52:13
626,136,1,2021-03-06 15:52:13
627,136,1,2021-03-06 15:52:13
628,136,1,2021-03-06 15:52:13
629,137,2,2021-03-06 15:52:13
630,137,2,2021-03-06 15:52:13
631,137,2,2021-03-06 15:52:13
632,137,2,2021-03-06 15:52:13
633,138,1,2021-03-06 15:52:13
634,138,1,2021-03-06 15:52:13
635,138,2,2021-03-06 15:52:13
636,138,2,2021-03-06 15:52:13
637,138,2,2021-03-06 15:52:13
638,139,1,2021-03-06 15:52:13
639,139,1,2021-03-06 15:52:13
640,139,1,2021-03-06 15:52:13
641,139,1,2021-03-06 15:52:13
642,139,2,2021-03-06 15:52:13
643,139,2,2021-03-06 15:52:13
644,140,1,2021-03-06 15:52:13
645,140,1,2021-03-06 15:52:13
646,140,2,2021-03-06 15:52:13
647,140,2,2021-03-06 15:52:13
648,140,2,2021-03-06 15:52:13
649,141,1,2021-03-06 15:52:13
650,141,1,2021-03-06 15:52:13
651,141,1,2021-03-06 15:52:13
652,141,2,2021-03-06 15:52:13
653,141,2,2021-03-06 15:52:13
654,142,1,2021-03-06 15:52:13
655,142,1,2021-03-06 15:52:13
656,142,1,2021-03-06 15:52:13
657,142,2,2021-03-06 15:52:13
658,142,2,2021-03-06 15:52:13
659,143,1,2021-03-06 15:52:14
660,143,1,2021-03-06 15:52:14
661,143,1,2021-03-06 15:52:14
662,143,1,2021-03-06 15:52:14
663,143,2,2021-03-06 15:52:14
664,143,2,2021-03-06 15:52:14
665,143,2,2021-03-06 15:52:14
666,145,2,2021-03-06 15:52:14
667,145,2,2021-03-06 15:52:14
668,145,2,2021-03-06 15:52:14
669,146,1,2021-03-06 15:52:14
670,146,1,2021-03-06 15:52:14
671,146,1,2021-03-06 15:52:14
672,147,1,2021-03-06 15:52:14
673,147,1,2021-03-06 15:52:14
674,147,1,2021-03-06 15:52:14
675,147,2,2021-03-06 15:52:14
676,147,2,2021-03-06 15:52:14
677,147,2,2021-03-06 15:52:14
678,149,1,2021-03-06 15:52:14
679,149,1,2021-03-06 15:52:14
680,149,1,2021-03-06 15:52:14
681,149,2,2021-03-06 15:52:14
682,149,2,2021-03-06 15:52:14
683,149,2,2021-03-06 15:52:14
684,150,1,2021-03-06 15:52:14
685,150,1,2021-03-06 15:52:14
686,150,2,2021-03-06 15:52:14
687,150,2,2021-03-06 15:52:14
688,150,2,2021-03-06 15:52:14
689,150,2,2021-03-06 15:52:14
690,151,1,2021-03-06 15:52:14
691,151,1,2021-03-06 15:52:14
692,151,2,2021-03-06 15:52:14
693,151,2,2021-03-06 15:52:14
694,152,1,2021-03-06 15:52:14
695,152,1,2021-03-06 15:52:14
696,152,1,2021-03-06 15:52:14
697,152,1,2021-03-06 15:52:14
698,153,1,2021-03-06 15:52:14
699,153,1,2021-03-06 15:52:14
700,153,1,2021-03-06 15:52:14
701,153,1,2021-03-06 15:52:14
702,154,1,2021-03-06 15:52:14
703,154,1,2021-03-06 15:52:14
704,154,1,2021-03-06 15:52:14
705,154,2,2021-03-06 15:52:14
706,154,2,2021-03-06 15:52:14
707,154,2,2021-03-06 15:52:14
708,154,2,2021-03-06 15:52:14
709,155,1,2021-03-06 15:52:14
710,155,1,2021-03-06 15:52:14
711,155,2,2021-03-06 15:52:14
712,155,2,2021-03-06 15:52:14
713,155,2,2021-03-06 15:52:14
714,156,2,2021-03-06 15:52:14
715,156,2,2021-03-06 15:52:14
716,157,2,2021-03-06 15:52:14
717,157,2,2021-03-06 15:52:14
718,157,2,2021-03-06 15:52:14
719,158,1,2021-03-06 15:52:14
720,158,1,2021-03-06 15:52:14
721,158,2,2021-03-06 15:52:14
722,158,2,2021-03-06 15:52:14
723,158,2,2021-03-06 15:52:14
724,159,1,2021-03-06 15:52:14
725,159,1,2021-03-06 15:52:14
726,159,1,2021-03-06 15:52:14
727,159,1,2021-03-06 15:52:14
728,159,2,2021-03-06 15:52:14
729,159,2,2021-03-06 15:52:14
730,159,2,2021-03-06 15:52:14
731,160,1,2021-03-06 15:52:14
732,160,1,2021-03-06 15:52:14
733,160,2,2021-03-06 15:52:14
734,160,2,2021-03-06 15:52:14
